Informe Completo;;;;;;;;;;;;;;;
Tipo : Acciones;;;;;;;;;;;;;;;
Pais: EEUU;;;;;;;;;;;;;;;
Fecha de creación : 28/1/2022;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Nombre;Ref.;Ingresos Totales;;;;;;;;Rentabilidad sobre fondos propios TTM;;Precio/Venta TTM;;Recomendación;URL
;;fecha;monto;fecha;monto;fecha;monto;fecha;monto;Empresa;Industria;Empresa;Industria;;
Apple Inc;AAPL;2021- 25/09;83360;2021- 26/06;81434;2021- 27/03;89584;2020- 26/12;111439;44.18;40.6;6.87;16.22;-;https://es.investing.com/equities/apple-computer-inc
Microsoft Corporation;MSFT;2021- 30/09;45317;2021- 30/06;46152;2021- 31/03;41706;2020- 31/12;43076;28.5;13.95;12.16;29.76;-;https://es.investing.com/equities/microsoft-corp
Alphabet Inc Class C;GOOG;2021- 30/09;65118;2021- 30/06;61880;2021- 31/03;55314;2020- 31/12;56898;26.32;24.8;7.16;8.61;-;https://es.investing.com/equities/google-inc-c
Alphabet Inc Class A;GOOGL;2021- 30/09;65118;2021- 30/06;61880;2021- 31/03;55314;2020- 31/12;56898;26.32;24.8;7.16;8.61;-;https://es.investing.com/equities/google-inc
Amazon.com Inc;AMZN;2021- 30/09;110812;2021- 30/06;113080;2021- 31/03;108518;2020- 31/12;125555;11.96;10.7;3.09;5.99;-;https://es.investing.com/equities/amazon-com-inc
Tesla Inc;TSLA;2021- 30/09;13757;2021- 30/06;11958;2021- 31/03;10389;2020- 31/12;10744;14.57;5.24;15.47;5548.08;-;https://es.investing.com/equities/tesla-motors
Meta Platforms Inc;FB;2021- 30/09;29010;2021- 30/06;29077;2021- 31/03;26171;2020- 31/12;28072;28.16;24.77;7.3;8.4;-;https://es.investing.com/equities/facebook-inc
Broadcom Mandatory Conv Pref;AVGOP;2021- 31/10;7407;2021- 01/08;6778;2021- 02/05;6610;2021- 31/01;6655;9.7;23.26;8.16;14.6;-;https://es.investing.com/equities/broadcom-mandatory-conv-pref
NVIDIA Corporation;NVDA;2021- 31/10;7103;2021- 01/08;6507;2021- 02/05;5661;2021- 31/01;5003;27.25;23.26;22.6;14.6;Vender;https://es.investing.com/equities/nvidia-corp
Berkshire Hathaway Inc Class A;BRKa;2021- 30/09;70583;2021- 30/06;69114;2021- 31/03;64599;2020- 31/12;64381;10.97;10.64;2.56;24.54;Comprar;https://es.investing.com/equities/berkshire-hathaway-inc
Taiwan Semiconductor Manufacturing;TSM;2021- 31/12;438189;2021- 30/09;414670.38;2021- 30/06;372145.12;2021- 31/03;362410.23;23.3;22.85;10.39;13.67;-;https://es.investing.com/equities/taiwan-semicond.manufacturing-co
Tencent Holdings Ltd ADR;TCEHY;2021- 30/09;142368;2021- 30/06;138259;2021- 31/03;135303;2020- 31/12;133669;18.6;17.47;6.57;6.06;-;https://es.investing.com/equities/tencent-holdings-pk
UnitedHealth Group Incorporated;UNH;2021- 31/12;73743;2021- 30/09;72337;2021- 30/06;71321;2021- 31/03;70196;3.56;undefined;1.51;1.67;-;https://es.investing.com/equities/united-health-group
Johnson & Johnson;JNJ;2022- 02/01;24804;2021- 03/10;23338;2021- 04/07;23312;2021- 04/04;22321;12.42;undefined;4.79;7.9;-;https://es.investing.com/equities/johnson-johnson
Visa Inc Class A;V;2021- 30/09;6559;2021- 30/06;6130;2021- 31/03;5729;2020- 31/12;5687;18.43;16.17;18.01;24.25;-;https://es.investing.com/equities/visa-inc
GMK Norilskiy Nikel PAO ADR;NILSY;2021- 30/06;665182;2020- 31/12;655006;2020- 30/06;461963;2019- 31/12;466591;57.72;41.52;2.64;5.68;-;https://es.investing.com/equities/jsc-mmc-norilsk-nickel
Home Depot Inc;HD;2021- 31/10;36820;2021- 01/08;41118;2021- 02/05;37500;2021- 31/01;32261;36.37;24.75;2.52;3.77;-;https://es.investing.com/equities/home-depot
LVMH Moet Hennessy Louis Vuitton SA ADR;LVMUY;2021- 31/12;35550;2021- 30/06;28665;2020- 31/12;26258;2020- 30/06;18393;12.04;16.53;6.32;5.64;-;https://es.investing.com/equities/lvmh-moet-henn-l-vut
