Informe Resumido;;;
Tipo : Acciones;;;
Pais: EEUU;;;
Fecha de creación : 28/1/2022;;;
;;;
Nombre;Ref.;Recomendación;URL
NVIDIA Corporation;NVDA;Vender;https://es.investing.com/equities/nvidia-corp
Berkshire Hathaway Inc Class A;BRKa;Comprar;https://es.investing.com/equities/berkshire-hathaway-inc
Netflix Inc;NFLX;Comprar;https://es.investing.com/equities/netflix,-inc.
Accenture plc;ACN;Comprar;https://es.investing.com/equities/accenture-ltd
Comcast Corp;CMCSA;Comprar;https://es.investing.com/equities/comcast-corp-new
FuelCell Energy Inc Pref;FCELB;Vender;https://es.investing.com/equities/fuelcell-energy-pref
China Merchants Bank Co Ltd;CIHKY;Vender;https://es.investing.com/equities/china-merchants-bank-co-ltd
Hermes International SA;HESAY;Vender;https://es.investing.com/equities/hermes-international-sa
Nextera Energy Inc;NEE;Vender;https://es.investing.com/equities/nextera-energy-inc
Philip Morris International Inc;PM;Vender;https://es.investing.com/equities/philip-morris-intl
PetroChina Co Ltd ADR;PTR;Comprar;https://es.investing.com/equities/petrochina-co-ads-exch
TotalEnergies SE ADR;TTE;Comprar;https://es.investing.com/equities/total-s.a.
Raytheon Technologies Corp;RTX;Comprar;https://es.investing.com/equities/united-tech
AIA Group Ltd ADR;AAGIY;Vender;https://es.investing.com/equities/aia-group-ltd
Prologis Inc;PLD;Vender;https://es.investing.com/equities/prologis
Moderna Inc;MRNA;Comprar;https://es.investing.com/equities/moderna
NextEra Energy Inc Unit;NEE_pq;Vender;https://es.investing.com/equities/nextera-energy-inc-unit
Zoetis Inc;ZTS;Vender;https://es.investing.com/equities/zoetis-inc
HDFC Bank Limited ADR;HDB;Vender;https://es.investing.com/equities/hdfc-bank
Infosys Ltd ADR;INFY;Comprar;https://es.investing.com/equities/infosy-tech
Snowflake Inc;SNOW;Vender;https://es.investing.com/equities/snowflake-inc
Airbnb Inc;ABNB;Vender;https://es.investing.com/equities/airbnb-inc
Rivian Automotive Inc;RIVN;Vender;https://es.investing.com/equities/rivian-automotive
Lam Research Corp;LRCX;Comprar;https://es.investing.com/equities/lam-research-corp
Marsh & McLennan Companies Inc;MMC;Vender;https://es.investing.com/equities/marsh---mclennan
CME Group Inc;CME;Vender;https://es.investing.com/equities/cme-group-inc.
Hong Kong Exchange & Clearing;HKXCY;Vender;https://es.investing.com/equities/hong-kong-exchange---clearing
Shin-Etsu Chemical Co Ltd ADR;SHECY;Vender;https://es.investing.com/equities/shin-etsu-chemical-co-ltd
Petroleo Brasileiro Petrobras SA ADR;PBR;Comprar;https://es.investing.com/equities/petroleo-bras
Petroleo Brasileiro ADR Reptg 2 Pref;PBRa;Comprar;https://es.investing.com/equities/petroleo-brasileiro-a
Nidec Corporation;NJDCY;Comprar;https://es.investing.com/equities/nidec-corporation-exch
BioNTech SE;BNTX;Comprar;https://es.investing.com/equities/biontech-se
Air Products and Chemicals Inc;APD;Vender;https://es.investing.com/equities/air-prods---chem
Natwest Group PLC;NWG;Vender;https://es.investing.com/equities/natwest-group-plc
Lucid Group Inc;LCID;Vender;https://es.investing.com/equities/churchill-capital-iv
Aon PLC;AON;Vender;https://es.investing.com/equities/aon-corp
Wal Mart de Mexico SAB de CV ADR;WMMVY;Vender;https://es.investing.com/equities/wal-mart-de-mexico
NetEase Inc;NTES;Comprar;https://es.investing.com/equities/netease.com
Dominion Energy Inc;D;Vender;https://es.investing.com/equities/dominion-res
DBS Group Holdings Ltd ADR;DBSDY;Vender;https://es.investing.com/equities/dbs-group-holdings-ltd
Naspers Ltd ADR;NPSNY;Vender;https://es.investing.com/equities/naspers-ltd-pk
